title,link,address,description,village,subdistrict,city,bedrooms,bathrooms,building_size,land_size,car_spaces,floors_total,maidrooms,price
"Dijual Rumah Di Kebun Jeruk Intercon Jakarta Barat, DKI Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/dijual-rumah-di-kebun-jeruk-intercon-jakarta-barat-16971799684/,"Kembangan, Jakarta Barat","Dijual Rumah Mewah Harga Terbaik Di Kebun Jeruk Intercon Jakarta Barat   Lingkungan asri nyaman Siap huni Dekat tol berbagai fasilitas yg telah ada   Lt.800m² (20x40) Lb.1200m² Kt.5+3 Km.5+2 Swiming pool Semi Funished (yg menempel) Hadap Selatan SHM on hand  Harga: 27 Milyar nego wajar  Info lebih lanjut, hub. Felly Sung - VERDE Property",JOGLO,KEMBANGAN,JAKARTA BARAT,5,5,1200,800,2,2,3,27000000000
Rumah Mewah Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-mewah-jakarta-barat-171742748826/,"Kembangan, Jakarta Barat","LT : 535 LB : 700 Blantai : 2 K.tdr : Atas 3 , Bawah 2(kamar art).K.mandi : Atas 3(setiap kamar ada kamar mandi), Bawah 2.ada ruang apa sj : Ruang tamu, Ruang Makan, Ruang Studio mini, Ruang keluarga diatas, Balkon.lantai jenis apa : Granit Listrik : 11.000 watt Air Jetpump (Toren 2) ada halaman dibelakang rumah carport 2 mobil(depan) garasi 2 mobil carport 2 mobil (pintu samping) Fasilitas : kolam renang security perumahan 24jam (pos disamping rumah) studio mini water heater Luas kolam renang kurang lebih (6x10m) surat SHM perum permata buana Jakarta Barat harga : 17m Nego smp Deal.",JOGLO,KEMBANGAN,JAKARTA BARAT,6,5,700,535,0,1,0,17000000000
"Dijual Rumah di Puri Indah Boulevard Jakarta Barat, Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/dijual-rumah-di-puri-indah-boulevard-jakarta-barat-170530884920/,"Puri Indah, Jakarta Barat","Rumah rapi, siap huni, ada halaman depan belakang. Garasi 2 mobil, carport 2 mobil. Furnished ( kecuali elektronik alay GYM) Lingkungan nyaman, keamanan 24 jam 1 gate Sistem. Lokasi strategis.  Info lebih lanjut hub : FELLY SUNG - VERDE Property",KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,6,4,720,600,4,1,0,22000000000
Rumah Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-jakarta-barat-171412170068/,"Grogol Petamburan, Jakarta Barat",Lokasi dekat dengan : SDN Jelambar 01 Pagi : 160 m Stasiun Grogol : 950 m Indomaret Empang Bahagia : 200 m,JELAMBAR,GROGOL PETAMBURAN,JAKARTA BARAT,2,1,100,48,0,1,0,1676400000
Rumah jakarta barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-jakarta-barat-171412070442/,"Grogol Petamburan, Jakarta Barat","Dekat dengan  Mall Seasons City : 850 m Gerbang Tol Jelambar : 1,7 km  SPBU Pertamina Jelambar : 350 m",JELAMBAR BARU,GROGOL PETAMBURAN,JAKARTA BARAT,2,1,150,57,0,1,0,2039120000
Tanjung Duren Jakarta Barat rumahtuajualcepathargatanah,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/tanjung-duren-jakarta-barat-rumahtuajualcepatharga-171836646463/,"Tanjung Duren, Jakarta Barat",Dijual Cepatharga tanah sajaarea strategisTanjung DurenJakarta Barat,TANJUNG DUREN SELATAN,GROGOL PETAMBURAN,JAKARTA BARAT,1,1,100,110,1,1,1,1500000000
Perumahan Aria Puri Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/perumahan-aria-puri-jakarta-barat-170435684711/,"Puri Indah, Jakarta Barat",9 Reasons to buy ARIA PURI Jakarta Barat1.Located in The Center Hub of West Jakarta Corridor2.5 minutes to Outer Ring Road and Jakarta-Merak Highway3.One Step Away to Surrounding Facilities4.One Gate Sistem5.Smart Home Living with 24 Hours Security CCTV6.Exclusive and Private Club House7.Optional Layout are available8.More than 50% Green Areawith more than 20 Facilities9.Modern Facadewith Spacious Living AreaOnly 4 Units leave from 28 Units.,KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,4,4,130,66,2,1,0,2879000000
Rumah Termurah Di Seluruh Jakarta,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-termurah-di-seluruh-jakarta-17169439784/,"Cengkareng, Jakarta Barat","Dijamin TERMURAH DI SELURUH JAKARTA! Dijual Rumah di Permata Taman Palem, Cengkareng. Jakarta Barat  LT: 141 m2 (9,4 x 15) 2 lantai full Kitchen set tinggal KT 4+1 KM 3+1 (ada 1 kamar tidur + kamar mandi dalam) 1 carport Listrik: 3500 watt Air: WTP Hadap : Selatan dan Timur Surat : SHM Harga : 2,6 M nego tipis",CENGKARENG TIMUR,CENGKARENG,JAKARTA BARAT,4,3,282,141,1,2,1,2600000000
Taman Meruya Ilir Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/taman-meruya-ilir-jakarta-barat-169701231320/,"Meruya, Jakarta Barat","Rumah Taman Meruya Ilir Jakarta Barat  Luas Tanah 469 m2 hoek Luas bangunan 465+ m2 // 3 Lantai Kamar tidur 6+1 Kamar mandi 3+1 Listrik 4400w + 3500w Air Pam + Tanah Carport + garasi (6 mobil) Dapur basah + kering Lantai marmer, atap baja ringan, solarhart Hadap Utara Barat SHM Harga Jual 9,8 M nego Now 9,5 M nego  gama.nextgen",MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,6,3,465,469,0,1,0,9000000000
Rumah 3  Krendang Barat Jakarta,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-3-krendang-barat-jakarta-171489792079/,"Meruya, Jakarta Barat","Cocok untuk usaha konveksi, Listrik 5500W, hadapnUtara, pam&sumur pantek,SHGB.",KRENDANG,TAMBORA,JAKARTA BARAT,3,3,56,56,0,1,0,1400000000
Dijual Rumah Tomang Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/dijual-rumah-tomang-jakarta-barat-171939071727/,"Grogol Petamburan, Jakarta Barat","Jual Rumah Tomang, Jakbar  LT 90m  LB 120m 2,5 lantai Kamar tidur 3 + 1 Kamar mandi 2 + 1 1 walk in closet, dapur, gudang 1 car port PAM + Air Sumur, PLN 4400w  Lokasi bagus dan strategis seberang Mall Taman Anggrek / Central Park (walking distance).  Harga 2.5M nego  Kode YG",TOMANG,GROGOL PETAMBURAN,JAKARTA BARAT,3,2,120,90,0,1,1,2500000000
Rumah 2 Lantai Kedoya Jakarta,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-2-lantai-kedoya-jakarta-172129889433/,"Kedoya, Jakarta Barat",Bangunan Masih BaruBebas BanjirAda Kamar Tambahan:2 Kamar Kontrakanlokasi strategismudah diakses,KEDOYA SELATAN,KEBON JERUK,JAKARTA BARAT,3,2,130,88,0,2,0,1390000000
"Di Jual Rumah 3 Lantai di Jelambar Utama Sakti Jakarta Barat, Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/di-jual-rumah-3-lantai-di-jelambar-utama-sakti-jak-170530887748/,"Grogol Petamburan, Jakarta Barat","Rumah rapi, sudah renov, bersih, siap huni, kokoh dengan bahan dan tiang pancang yang kuat serta berkualitas ini terletak di Jelambar Utama Sakti, Jakarta Barat ini memeiliki sirkulasi udara yang baik, tersedia rooftop cocok untuk bersantai untuk kaum milenial atau bisa juga untuk menjemur pakaian dan kegiatan lainnya. Rumah ini mempunyai fasilitas eksternal yang akan membuat anda nyaman untuk tinggal disini seperti dekat dengan sekolah favorit, pasar swalayan, pusat pembelanjaan dan rumah sakit, tempat ini juga bebas banjir.  More Info Felly Sung VERDE Property",WIJAYA KUSUMA,GROGOL PETAMBURAN,JAKARTA BARAT,4,4,520,200,0,1,0,4750000000
FORRIS PRIVATE CITRA 8 JAKARTA BARAT,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/forris-private-citra-8-jakarta-barat-169382241025/,"Sunrise Garden, Jakarta Barat",FORRIS PRIVATE CITRA 8 JAKARTA BARAT _By. Ciputra Group_ _Tropical Garden Home_,KEDOYA UTARA,KEBON JERUK,JAKARTA BARAT,3,3,75,62,1,1,0,2000000000
"Rumah Second, Bagus, Puri Media, Jakarta barat",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-second-bagus-puri-media-jakarta-barat-170591684647/,"Kembangan, Jakarta Barat","Rumah rapi, second, nyaman, bebas banjir, hadap barat, semi furnish, permata puri media, jakarta barat",KEMBANGAN UTARA,KEMBANGAN,JAKARTA BARAT,4,2,180,120,2,1,0,3350000000
jual rumah di kembangan jakarta barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/jual-rumah-di-kembangan-jakarta-barat-171612435940/,"Kembangan, Jakarta Barat",dijual rumah di kembangan jakarta barat.bebas banjir.akses jalan masuk mobil.,JOGLO,KEMBANGAN,JAKARTA BARAT,5,1,120,70,0,1,0,450000000
Perumahan taman aries meruya kembangan jakarta barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/perumahan-taman-aries-meruya-kembangan-jakarta-bar-172231948349/,"Kembangan, Jakarta Barat","DI LELANG RUMAH MURAH JAKARTA BARATAlamatPerumahan Taman Aries, Meruya Utara, Kembangan, Jakarta BaratLuas tanah 315 m2Luas bangunan 229 m2Skema LELANG CESSIEHarga Jual 4.9 mlr Harga in pengosongan Pembayaran wajib cash",MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,4,3,229,315,0,1,0,4900000000
Perumahan taman aries meruya kembangan jakarta barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/perumahan-taman-aries-meruya-kembangan-jakarta-bar-172231951694/,"Kembangan, Jakarta Barat","DI LELANG RUMAH MURAH JAKARTA BARATAlamatPerumahan Taman Aries, Meruya Utara, Kembangan, Jakarta BaratLuas tanah 315 m2Luas bangunan 229 m2Skema LELANG CESSIEHarga Jual 4.9 mlr Harga in pengosongan Pembayaran wajib cash",MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,4,3,229,315,0,1,0,4900000000
RUMAH TAMAN MERUYA ILIR JAKARTA BARAT,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-taman-meruya-ilir-jakarta-barat-171680111832/,"Meruya, Jakarta Barat",18. DIJUAL RUMAH TAMAN MERUYA ILIR JAKARTA BARAT,MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,4,2,300,215,1,1,0,4000000000
Dijual Sebuah Rumah di daerah Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/dijual-sebuah-rumah-di-daerah-jakarta-barat-172110990119/,"Puri Indah, Jakarta Barat","For Sale Rumah Dijual Sebuah Rumah di daerah Jakarta Barat dgn spek Sbb:  Lokasi Puri Indah Jakarta Barat  Luas Tanah : 7 X 15 ( ada 50 M2 surat PPJB dianggap gratis ) 105m2  Luas Bangunan : 250 m2  Hadap : Utara  Kamar Tidur : 4 br  Kamar Mandi : 3 br  Status kepemilikan : 105 M2 SHM, 50 M2 PPJB",KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,4,3,250,105,0,1,0,2700000000
Perumahan taman aries meruya kembangan jakarta barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/perumahan-taman-aries-meruya-kembangan-jakarta-bar-172231960454/,"Kembangan, Jakarta Barat","DI LELANG RUMAH MURAH JAKARTA BARATAlamatPerumahan Taman Aries, Meruya Utara, Kembangan, Jakarta BaratLuas tanah 315 m2bLuas bangunan 229 m2Skema LELANG CESSIEHarga Jual 4.9 mlr Harga in pengosongan Pembayaran wajib cash",MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,4,3,229,315,0,1,0,4900000000
Dijual Rumah / Tanah di Tomang Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/dijual-rumah-tanah-di-tomang-jakarta-barat-169682667519/,"Grogol Petamburan, Jakarta Barat","For Sale Rumah daerah Tomang Utara, Jakarta Barat  Luas Tanah: 514 m2 Sertifikat Hak Milik  Lokasi Strategis:  500 meter ke Halte Trans Jakarta RS Sumber Waras 2 menit ke Trisakti Untar 5 menit ke Akses Tol Jakarta-Tangerang Akses Tol Dalam Kota 7 menit ke Mall Taman Anggrek Central Park 10 menit ke Tanah Abang Slipi 12 menit ke Sudirman, SCBD, Thamrin Senayan 14 menit ke Senopati 18 menit ke Kuningan 24 menit ke Stasiun Gambir 30 menit ke Bandara Soekarno-Hatta    Harga hitung tanah saja negotiable",TOMANG,GROGOL PETAMBURAN,JAKARTA BARAT,3,3,360,514,0,1,0,13000000000
Rumah Dijual Joglo Kembangan Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-dijual-joglo-kembangan-jakarta-barat-171145009353/,"Kembangan, Jakarta Barat","Alamat : JOGLO KEMBANGANLokasi : DKI Jakarta, Jakarta Barat , JogloTipe : RumahTransaksi : JualSertifikat : SHMLT/LB : 104 m2 / 125 m2Dimensi : -KT/KM : 6 / 3Orientasi : -Listrik/Air/No.Telepon : 3500 / pamCode : 101621-BRKG00026",JOGLO,KEMBANGAN,JAKARTA BARAT,6,3,125,104,0,1,0,1700000000
"Rumah Puri Kencana, Jakarta Barat cluster favorite",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-puri-kencana-jakarta-barat-cluster-favorite-170591684127/,"Puri Indah, Jakarta Barat","Rumah Puri Kencana, Jakarta Barat, cluster Favorite, nyaman hadap utara Id: bbtY",KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,5,4,300,200,2,1,0,8200000000
"Rumah Jakarta Barat Classic modern 2,5 lantai",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-jakarta-barat-classic-modern-2-5-lantai-17177331706/,"Meruya, Jakarta Barat","Listing 444 Meruya, Kembangan .Jakarta Barat Dijual 1 Unit Rumah Mewah Siap Huni 2,5 lantai pinggir jalan Konsep Classic Modern area Meruya Selatan, Kec.Kembangan .Jakarta Barat.Cocok untuk hunian keluarga atau Hunian Perkantoran Lokasi super strategis hanya selangkah ke exit Tol Meruya dan Universitas Mercu Buana SPESIFIKASI : Rumah 2,5 Lantai Luas Tanah 181 Luas Bangunan 220 Kamar Tidur 3+2 Kamar mandi 3+1 Lantai Granit 60 x 60 Carpot 2 Mobil Semi Furnished Listrik 3500 watt Mesin air satelite Menghadap Utara Legalitas SHM, IMB dan PBB Harga 3.6 M (nego).",MERUYA SELATAN,KEMBANGAN,JAKARTA BARAT,4,4,220,181,0,1,0,3600000000
DIJUAL RUMAH murah  puri gardena jakarta barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/dijual-rumah-murah-puri-gardena-jakarta-barat-17050441307/,"Puri Indah, Jakarta Barat",DIJUAL   RUMAH murah puri gardena jakarta   barat   Lt :95   Lb :90     Kamar     Tidur : 2      Kamar   mandi :1   SHM   Listrik : 1300      Tidak     ada garasi       Carport   : 1   lebar   jalan depan rumah bisa 2 mobil      Harga     Jual :1.6 M,KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,2,1,90,95,0,1,0,1600000000
Rumah NorthBend Metland Puri Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-northbend-metland-puri-jakarta-barat-169837870274/,"Puri Indah, Jakarta Barat",Northbend Tahap 3 berlokasi di Metland Cyber City Puri Jakarta Barat akses tol langsung Karang Tengah di kelilingi fasilitas yang lengkap info lengkap dan promo bisa chat wa Jhonson.,KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,3,2,92,72,0,1,0,2500000000
Perumahan taman aries meruya kembangan jakarta barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/perumahan-taman-aries-meruya-kembangan-jakarta-bar-172231955251/,"Kembangan, Jakarta Barat","DI LELANG RUMAH MURAH JAKARTA BARATAlamatPerumahan Taman Aries, Meruya Utara, Kembangan, Jakarta BaratLuas tanah 315 m2Luas bangunan 229 m2Skema LELANG CESSIEHarga Jual 4.9 mlr Harga in pengosongan Pembayaran wajib cash",MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,4,3,229,315,0,1,0,4900000000
Rumah dijual di Kedoya Azela Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-dijual-di-kedoya-azela-jakarta-barat-171531926341/,"Kedoya, Jakarta Barat",Rumah dikedoya azela Jakarta Barat Luas tanah: 306 m2 Luas bangunan: 360 m2 Surat SHM IMB ada Kamar tidur: 5+1 Kamar mandi: 2+1 2 lantai Air PAM Garasi 1 Carport 1 Harga Jual 7 M (Nego).,KEDOYA SELATAN,KEBON JERUK,JAKARTA BARAT,6,3,360,306,0,1,0,7000000000
Dijual Rumah Casa Jardin Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/dijual-rumah-casa-jardin-jakarta-barat-169874212674/,"Daan Mogot, Jakarta Barat","Dijual Rumah Casa Jardin Jakarta Barat Luas : 6x15 2KT 2KM SHM Lantai 1 full bangunan, dinding ruang tamu granit 100x100 Harga : 2,6M Tiomanta Butarbutar",KEDAUNG KALI ANGKE,CENGKARENG,JAKARTA BARAT,2,2,90,90,0,1,0,2600000000
"Puri media, jakarta barat, siap huni, minimalis,",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/puri-media-jakarta-barat-siap-huni-minimalis-170591684175/,"Kembangan, Jakarta Barat","Rumah permata puri media, Jakarta Barat, selangkah ke Mall Puri, 15 menit ke Bandara Soekarno Hatt, cocok di miliki oleh pasangan baru, minimalis, hadap timur, rapi",KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,2,2,110,90,1,1,0,2700000000
Rumah tanjung duren timur daerah jakarta barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-tanjung-duren-timur-daerah-jakarta-barat-171426890973/,"Tanjung Duren, Jakarta Barat","Jual RUMAH Tanjung Duren Timur, Jakarta Barat Luas Tanah : 336 m ( 12x28) Luas Bang : 158 m Lantai : 2 Hadap : Timur KT : 4, KM : 3 KT Art : 2, KM Art:1 Garasi Teras Taman Belakang Gudang SHM Harga : 8 M (Nego).",TANJUNG DUREN SELATAN,GROGOL PETAMBURAN,JAKARTA BARAT,4,3,158,336,0,1,0,8000000000
"Rumah baru di Meruya Utara, Jakarta Barat",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-baru-di-meruya-utara-jakarta-barat-170651547422/,"Meruya, Jakarta Barat","Dijual 2 unit rumah baru di Meruya Utara, Jakarta (bebas banjir) Lt.125m2 Lb.145m2 Hadap Timur 2 lantai Kt.3+1 Km.2+1 Carport 2 Listrik: 2200 watt Air tanah Unfurnished Harga 2.5M/unit.",MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,3,2,145,125,0,1,0,2500000000
"Dijual Rumah Puri Kencana, Kembangan, Jakarta Barat",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/dijual-rumah-puri-kencana-kembangan-jakarta-barat-169876510985/,"Kembangan, Jakarta Barat","Dijual Rumah Puri Kencana, Kembangan, Jakarta Barat  LT: 250 m2 LB: 304 m2 2 lantai KT: 4+1 KM: 3+1 Hadap: selatan Dalam perumahan yang asri dan nyaman  Peminat serius hub: DIANA",KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,4,3,304,250,2,1,0,8200000000
Rumah taman Kedoya Baru Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-taman-kedoya-baru-jakarta-barat-171630068373/,"Kedoya, Jakarta Barat",Luas Tanah: 90 m² Lebar x Panjang: 6 x 15 Luas Bangunan: .m² Jumlah Lantai: 3½ Kondisi Properti: Bagus Kamar Tidur:3 Kamar Mandi:4 Kamar Pembantu: 1 KM Pembantu:1 Garasi / Carport: -/2 mobil Daya Listrik: 5.500 W Hadap: Timur Status Kepemilikan :SHM Rumah siap huni Area Jakarta Barat AC 4 unit.,GROGOL,GROGOL PETAMBURAN,JAKARTA BARAT,3,4,90,90,0,1,0,3100000000
"Rumah Di Taman Meruya Ilir, Jakarta Barat",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-di-taman-meruya-ilir-jakarta-barat-170470065456/,"Kembangan, Jakarta Barat","DIJUAL  Rumah Di Taman Meruya Ilir, Jakarta Barat Spesifikasi : Luas Tanah 300m Luas Bangunan 130m KT 3+1 KM 2+1 Hadap Utara Carport 4 Kendaraan  JUAL 7.750M ( nego )",MERUYA UTARA,KEMBANGAN,JAKARTA BARAT,4,3,130,300,0,1,0,7750000000
Dijual Perumahan Grawisa di Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/dijual-perumahan-grawisa-di-jakarta-barat-172100953055/,"Grogol Petamburan, Jakarta Barat","Dijual Perumahan Grawisa di Jakarta Barat  Grawisa 1 No.9 Blok B, RT.7/RW.1, Wijaya Kusuma, Kec. Grogol petamburan Luas tanah 145m Luas bangunan 147m Kamar tidur 3 Kamar mandi 3 Harga : 4Milyar  Mayko (Abie Property)",WIJAYA KUSUMA,GROGOL PETAMBURAN,JAKARTA BARAT,3,3,147,145,0,1,0,4000000000
"Kos Di Tanjung Duren, Jakarta Barat",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/kos-di-tanjung-duren-jakarta-barat-171817801982/,"Tanjung Duren, Jakarta Barat","DIJUAL  Rumah Kos Di Tanjung Duren, Jakarta Barat  Spesifikasi : Luas Tanah 185m Luas Bangunan 459m KT 39 KM Dalam 13 4 Lantai   JUAL 7M",GROGOL,GROGOL PETAMBURAN,JAKARTA BARAT,39,20,459,185,0,1,0,7000000000
Rumah di Jakarta Barat Permata Buana,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-di-jakarta-barat-permata-buana-169440398146/,"Kembangan, Jakarta Barat","Di jual Rumah di Jakarta Barat Permata Buana LT. 144 m2 (8×18) LB. 225 m2 2 Lt KT. 3 + 1 KM.3 + 1 Listrik 4400 KW PAM SHM harga 4,5 M",KEMBANGAN UTARA,KEMBANGAN,JAKARTA BARAT,4,4,225,144,1,1,0,4500000000
Rumah Murah di Dalam Perumahan Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-murah-di-dalam-perumahan-jakarta-barat-171375460029/,"Kembangan, Jakarta Barat",Lokasi: jalan strategi raya perkavlingan hankam kel.joglo kec.kembangan kota jakarta barat Luas tanah 260m2 Luas bangunan 310m2 Shm 2lantai Bangunan bagus Lokasi nyaman dan strategis Harga 2.85M all in sampai pajak dan balik nama terima beres Termurah jauh dibawah pasaran legalitas terjamin proses mudah (Siapa cepat dia dapat).,JOGLO,KEMBANGAN,JAKARTA BARAT,4,3,310,260,0,1,0,2850000000
"Rumah Di Tanjung Duren, Jakarta Barat",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-di-tanjung-duren-jakarta-barat-171628196891/,"Grogol Petamburan, Jakarta Barat","DIJUAL  Rumah Di Tanjung Duren, Jakarta Barat  Spesifikasi : Luas Tanah 172m Luas Bangunan 250m KT 3+1 KM 3 2 Lantai Hadap Selatan  JUAL 7M ( nego )",TANJUNG DUREN SELATAN,GROGOL PETAMBURAN,JAKARTA BARAT,4,3,250,172,0,1,0,7000000000
DIJUAL CEPAT RUMAH GOLF LAKE jakarta barat,https://www.lamudi.co.id/proyek/golf-lake-residence/dijual-cepat-rumah-golf-lake-jakarta-barat-171565954173/,"Cengkareng, Jakarta Barat",DIJUAL CEPAT RUMAH GOLF LAKE jakarta barat  boulevard 10x20 LB 280m2 an (full bgnan) KT 5+1 KM 3+1 SHM 2lt semifurnished sudah renov 7.7M nego,CENGKARENG TIMUR,CENGKARENG,JAKARTA BARAT,5,3,280,200,0,1,0,7700000000
Dijual Rumah Kosambi Baru Cengkareng Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/dijual-rumah-kosambi-baru-cengkareng-jakarta-barat-171991192554/,"Cengkareng, Jakarta Barat","Dijual Rumah Kosambi Baru 3BR (T/B 132 m² / 100 m²) Shm, 1.8m, Cengkareng, Jakarta Barat  Dijual (For Sale)  Rumah Kosambi Baru Cengkareng Jakarta Barat  Luas Tanah 8x16.5 132 m² Luas Bangunan 100 m² Kamar Tidur 3 Kamar Mandi 1 Hadap Selatan SHM  Harga Jual: 1.8 M (Negotiable)  Bisa Survey H-1 Kpr Bisa Dibantu Sampai Tuntas FAST RESPONSE VIA WA  Yuk Segera Hubungin Untuk Survey: Felly Century 21 Zawa 2  If You Want To Rent / Sale / Buy Apartments, Houses, Offices, Ruko Land, You Can Contact Me.  Code: mly",DURI KOSAMBI,CENGKARENG,JAKARTA BARAT,3,1,100,132,0,1,0,1800000000
Rumah Luas Cengkareng Timur Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-luas-cengkareng-timur-jakarta-barat-171934248357/,"Cengkareng, Jakarta Barat","Rumah luas di Cengkareng Timur Jakarta Barat. 

Lokasi sangat strategis , dekat Tol Kembangan, Ramayana Cengkareng, Pasar Cengkareng, RS Cengkareng, dll

Luas Tanah : 224 m2
Luas Bangunan : 110 m2
Jumlah Kamar Tidur : 3
Jumlah Kamar Mandi : 1
Jumlah Lantai : 1
Jumlah Garasi/carport : 1
Jenis Sertifikat : SHM
Harga : 1,5 M #ID: 169205",CENGKARENG TIMUR,CENGKARENG,JAKARTA BARAT,3,1,110,204,1,1,0,1500000000
"R1980 Rumah Di Puri Kencana, Jakarta Barat",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/r1980-rumah-di-puri-kencana-jakarta-barat-169416300094/,"Kembangan, Jakarta Barat","DIJUAL R1980  Rumah Di Puri Kencana, Jakarta Barat Spesifikasi : SHM Luas Tanah 235m Luas Bangunan 300m Hadap Timur  JUAL 10,5M ( nego )",KEMBANGAN SELATAN,KEMBANGAN,JAKARTA BARAT,4,4,300,235,0,1,0,10500000000
Dijual Rumah Krendang Tengah Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/dijual-rumah-krendang-tengah-jakarta-barat-171541206068/,"Krendang, Jakarta Barat","Dijual Rumah Krendang Tengah Jakarta Barat  Luas Tanah : 90m2  NJOP  Harga Jual : 1,35M   Untuk Survey Hub  ADI PJ PRO/LENNY PJ PRO Sell-Buy-Rent",KRENDANG,TAMBORA,JAKARTA BARAT,3,2,120,90,0,1,0,1350000000
"Rumah Citra 2, Cengkareng, Jakarta Barat",https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-citra-2-cengkareng-jakarta-barat-16935676731/,"Cengkareng, Jakarta Barat","Dijual Rumah Citra 2, Cengkareng, Jakarta Barat  Lokasi strategis, keamanan 24 jam dan bebas banjir. Spesifikasi : Luas tanah : 200 m2 (10x20) Luas bangunan : 300 m2 Bangunan : 2,5 lantai Kamar tidur : 4+1 Kamar mandi : 4+1 Daya Listrik (Optional) : 4.400 watt   Harga : 3,75 M",CENGKARENG TIMUR,CENGKARENG,JAKARTA BARAT,4,4,300,200,0,1,0,3750000000
Rumah Tanjung Duren Selatan Jakarta Barat,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/rumah-tanjung-duren-selatan-jakarta-barat-169356769418/,"Grogol Petamburan, Jakarta Barat","Dijual Rumah Tanjung Duren Selatan Jakarta Barat Lokasi Strategis pinggir jalan , bebas banjir Luas Tanah : 117 m2 ( 9 x 13 ) Luas Bangunan : 121 m2 Bangunan 2 lantai KT : 5 + 1 KM : 2 Terdapat Dapur , Ruang Makan , Carport List ; 5500 watt Air PAM ada bak tampungan Ac : 4 Unit Harga 2.5 M (Nego)",GROGOL,GROGOL PETAMBURAN,JAKARTA BARAT,5,2,121,117,0,1,0,2500000000
