title,link,address,description,village,subdistrict,city,bedrooms,bathrooms,building_size,land_size,car_spaces,floors_total,maidrooms,price
"Dijual Rumah Bagus di Shinano Jakarta Garden City, Jakarta Timur",https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-bagus-di-shinano-jakarta-garden-city-171946385424/,"Cakung, Jakarta Timur","Dijual butuh cepat rumah di Shinano Jakarta Garden City - Jakarta Timur  Lt.5x15=75m2 Lb.100m2 2 lantai Kt.2 Km.2 Pln 3.500w PAM PPJB AC 3unit,semi furnished,bagian belakang sdh ditutup rapi menjadi dapur. Harga 1,550 M nego  OL JJo HAM3",CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,2,2,100,75,0,1,0,1550000000
"Dijual rumah di cluster shinano, Jakarta garden city, Jakarta Timur",https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-di-cluster-shinano-jakarta-garden-cit-17223306100/,"Cakung, Jakarta Timur","Dijual rumah di cluster shinano, Jakarta garden city, Jakarta Timus  LT 130 LB 200 KT 3 KM 2 Storage room 1 Study room/ office  Listrik 2200 Hadap Barat PPJB Full furnished  Harga 2.85 M nepis henyan M1",CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,3,2,200,130,0,1,0,2850000000
Dijual rumah di Jakarta Garden City cluster alamanda Jakarta Timur.,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-di-jakarta-garden-city-cluster-alaman-170876355652/,"Cakung, Jakarta Timur","Dijual rumah di Jakarta Garden City cluster alamanda Jakarta Timur  Tanah 209  Bangunan 213 Barat Listrik 5500 watt 1 kamar Utama kamar mandi di dalam, 1 kamar anak 1 kamar PRT 1 KM dibawah 2 KM diatas SHM  Harga 3.1 M nego Henyan  Bonus : 1. 5 AC terpasang 2. Lemari tanam ( kamar utama ) 3. Meja makan 4. Sofa Ruang Tamu 2 set 5. Kitcen set 6. Kompor Tanam Rinnai & cooker hood modena 7. Jemuran Tempel 8. Pemanas Tenaga matahari 9. Gazebo 10. Kipas angin lampu (2)",CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,3,3,213,209,0,1,0,3100000000
"Jual Rumah di Jakarta Garden City Cluster Mississippi, Cakung, Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-timur/jual-rumah-di-jakarta-garden-city-cluster-mississi-171627823514/,"Cakung, Jakarta Timur","Dijual rumah di jakarta garden city cluster Mississippi  Lt 90 Lb 75 Kt 3+1 Km 2+1 Hadap selatan (KOLAM RENANG) Listrik 4400 Sertifikat SHM lnrgphi Harga 1,975M",CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,3,2,75,90,2,2,1,1975000000
Jual Cepat Rumah Jakarta Garden City Jakarta Timut,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/jual-cepat-rumah-jakarta-garden-city-jakarta-timut-171031532736/,"Cakung, Jakarta Timur",Jual cepat rumah JGC cakung Jakarta timur Kt.3+1 Km.2+1 Listrik 2200 Air jet pump Listrik 2200 2 Lantai Hadap selatan Akses/Fasilitas Jalan lebar 2 mobil Keamanan 24 jam Aeon Mall IkEA Tol Jor exit Cakung TOL Klapa Gading.,CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,4,3,130,102,0,1,0,2100000000
Rumah baru di Jakarta Garden City - Cakung - Jakarta Timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/rumah-baru-di-jakarta-garden-city-cakung-jakarta-t-172172309527/,"Cakung, Jakarta Timur","Dijual rumah baru di Cluster Shinano JGC - Cakung - Jakarta Timur  Lt.6x1590m2 Lb.50m2 Type Mezanine Kt.4+1 Km.1+1 Pln 2.200w Pam Gordyn belakang sudah diploor. HGB Harga 1,650M nego  OLM2",CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,5,2,50,90,0,1,0,1650000000
Dijual Rumah di Jakarta Garden City Cluster Alamanda Cakung   Jakarta,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-di-jakarta-garden-city-cluster-alaman-172143624931/,"Cakung, Jakarta Timur","Dijual Rumah di Jakarta Garden City Cluster Alamanda Cakung   Jakarta Timur  Termurah jarang Ada ,Tanah Besar  Lt 120m² Lb 125m²  Kt 3+1 Km 3+1  SHM Hadap selatan  Standard Kosongan  Harga turun 2 M nego  li-si",CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,3,3,125,120,2,1,0,2000000000
Dijual Rumah renov di Jakarta Garden City Cakung Jakarta Timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-renov-di-jakarta-garden-city-cakung-j-170254205673/,"Cakung, Jakarta Timur","Dijual Rumah dalam Cluster di Jakarta Garden City Rumah full renovasi siap huni LT 119m2 LB full (2 lantai) Carport 2 mobil KT 4 +1 KM 4+1 Listrik 2200w PPJB Kitchen set Harga 2,5M nego mic.",CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,4,4,150,119,0,1,0,2500000000
"Dijual Rumah di Cluster Lantana Jakarta Garden City, Cakung, Jakarta",https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-di-cluster-lantana-jakarta-garden-cit-171204513265/,"Cakung, Jakarta Timur","Rumah di Cluster Latana Jakarta Garden City Cakung Jakarta Timur  LT : 198 m2 ( 12 x 16,5 ) LB : 254 m2 2 Lantai KT : 3 + 1 KT Art KM : 3 + 1 KM Art Listrik : 4400 watt Air : Pam Garasi : 1 mobil Carpot : 3 mobil Hadap : Selatan Sertifikat : SHM  Semi Furnish - berikut listrik panel surya dan kelengkapannya, jadi lebih hemat listrik - toren air 2 x 500 liter - kolam ikan - ada pintu dan taman belakang rumah - joging trak di belakang rumah jongpkg j Harga Jual : 4 M negoarga Jual : 4 M nego  HUB; ALING LIM",CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,3,3,254,198,2,2,1,4000000000
Dijual Rumah di Clsuter Misssisipi Jakarta Garden CIty Jakarta Timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/dijual-rumah-di-clsuter-misssisipi-jakarta-garden-169234652298/,"Cakung, Jakarta Timur",DiJual Rumah di Cluster Mississipi JGC Cakung   Jakarta Timur  LT.8x14 m = 112 m2 LB. 120m2  3+1 kmr tdr 2 +1 kmr mdi  2200 watt PPJB siap AJB Row jalan Lebar   Harga 2 M nego,CAKUNG TIMUR,CAKUNG,JAKARTA TIMUR,4,3,120,112,0,1,0,2000000000
