title,link,address,price,description,bedrooms,bathrooms,building_size,land_size,car_spaces,floors_total,maidrooms
Bukit Podomoro Jakarta Tipe 8,https://www.lamudi.co.id/proyek-baru/sl-bukit-podomoro-jakarta/bukit-podomoro-jakarta-tipe-8-169880305640/,"Duren Sawit, Jakarta Timur",6000000000,"PROMO BUKIT PODOMORO JAKARTA OKTOBER 2023 : - KPR SPECIAL RATE 3,25% - DISCOUNT UP TO 500 JUTA - FREE FULLY FURNISHED * - HADIAH LANGSUNG ELECTRIC MOTORCYCLE /   FINE GOLD 20 GR / AIR CONDITIONER *SYARAT & KETENTUAN BERLAKU  Bukit Podomoro Jakarta Tipe 8 merupakan tipe rumah 2 lantai yang memiliki 4 kamar tidur, 4 kamar mandi, 1 kamar tidur pembantu, 1 kamar mandi pembantu, ruang tamu, ruang makan, dapur, teras, balkon dan carport untuk 2 mobil. Rumah Tipe 8 memiliki luas bangunan 231 meter persegi dan luas tanah 136 meter persegi. Keunggulan dari Bukit Podomoro Jakarta  Lokasi strategis hanya 20 menit dari Monumen Nasional (Monas). Perumahan ini memiliki fasilitas premium clubhouse dan infrastruktur modern. Dekat dengan Stasiun KA Klender, Stasiun KA Buaran. Dekat dengan Tol Becakayu (Bekasi-Cawang-Kampung Melayu), Tol Pedati, Bintara, Jatinegara. Dikembangkan oleh developer terpercaya, Agung Podomoro Land.   Fasilitas yang terdapat pada Bukit Podomoro Jakarta, yaitu :  Swimming Pool Kids Pool Jacuzzi Fitness Gym Studio Jogging Track Sunset Lounge Wilshire Ballroom Private Cinema Bowling Alley Games Room Outdoor Lounge The Great Lawn Badminton Court",4,4,231,136,2,2,1
Rumah murah daerah jakarta utara,https://www.lamudi.co.id/jual/jakarta/jakarta-utara/rumah-murah-daerah-jakarta-utara-169062307032/,"Tanjung Priok, Jakarta Utara",4000000000,Rumah di jualSunter- Jakarta UtaraSHMLuas 8x17Lb 8x143Lantai 1/4Hadap utaraKt 5+1Km 4+1AC 6Semi FurnisedGarasi 2Listrik 4400PAMRow depan rumah 2 mobilHarga 4MNego,6,5,112,136,0,1,0
RUMAH KEMANG JAKARTA SELATAN LUAS,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/rumah-kemang-jakarta-selatan-luas-171677303092/,"Kemang, Jakarta Selatan",8988000000,"Dijual Murah & Cepat Rumah di Kemang Jakarta Selatan Hitung Harga Tanah Jl.Kemang Timur Lt / Lb.535 M2 / 250 m2, SHM, 3+1 Kt, 3+1 Km, R.Tamu, R.Kel, Dapur Besih + Kotor, Taman, Garasi & Carport.Lokasi Dekat Ke Jalan Utaman / Raya Kemang Timur, Note : Harga Jual 16.8 Jt/ m2, Nego ( Njop 17 jt / m2 ).",4,4,250,535,0,1,0
Tanah/Rumah Tebet Jakarta Selatan,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/tanah-rumah-tebet-jakarta-selatan-172156226832/,"Tebet Barat, Jakarta Selatan",1650000000,"Dijual murah setengah kavling rumah hitung tanah di tebet barat jakarta selatan, sertifikat sudah pecah.Luas Tanah 82 m².Lebar muka 5,7 m.SHM.Dekat taman.Akses 1 mobil.5 menit ke taman ecopark tebet.Lingkungan tenang dan nyaman.Harga 1,650 M.",2,1,60,82,0,1,0
Dijual Rumah Di Jakarta Selatan,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-rumah-di-jakarta-selatan-172107031177/,"Petukangan Selatan, Jakarta Selatan",8000000000,"SN /Na
Rumah Dijual Di Jakarta Selatan

Luas Bangunan: 400 mÂ²
Luas Tanah: 766 mÂ²
Ukuran tanah LxP 30,5x25
Sertifikat: SHM - Sertifikat Hak Milik
Listrik: 5500 watt
Kamar tidur : 7+2
Kamar mandi : 4+1
Carport : 4 Mobil
Garasi : 4 Mobil
Sumber Air : Air Tanah
Bangunan menghadap : Barat
Bangunan tahun : 1996 Bata Merah kokoh

Lokasi strategis:
- Petukangan Utara Jakarta Selatan.
- Dekat dengan Universitas Budi Luhur dan Universitas Mercu Buana
- Dekat dengan Rumah Sakit Pusat Pertamina, Rumah Sakit Siloam Kebun Jeruk, dan Rumah sakit Sari Asih
- Akses tol terdekat : Tol Jorr Joglo dan Tol Jorr Ciledug #ID: 173242",7,4,400,766,4,1,0
"RUMAH MURAH, PESANGGRAHAN JAKARTA SELATAN",https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/rumah-murah-pesanggrahan-jakarta-selatan-169761065765/,"Pesanggrahan, Jakarta Selatan",4550000000,"Alamat Jl. Beo RT.5/RW.3, Pesanggrahan, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12320  LT : 880 m2 LB : 500 m2  Sertifikat SHM Garasi 1 Carpots 3 Daya Listrik 5500 Watt Interior Non Furnished Jumlah Lantai 2 Tipe Properti Rumah  Tahun Dibangun 2000 Kamar Tidur Pembantu 2 Kamar Mandi Pembantu 2  Skema LELANG CESSIE BISA NEGO SAMPAI DEAL.",4,2,500,960,0,1,0
Rumah Cluster Ciracas Jakarta Timur,https://www.lamudi.co.id/jual/jakarta/jakarta-timur/rumah-cluster-ciracas-jakarta-timur-171801833486/,"Ciracas, Jakarta Timur",1150000000,"•DIJUAL•
Rumah minimalis bebas banjir
Lokasi cluster dilingkungan warga
Bangunan baru
Security 24 jam
Jl. Raya PKP, Ciracas, Jakarta Timur
 
Spesifikasi:
• Luas tanah 60m²
• Luas bangunan ± 110m²
• Kamar tidur 3
• Kamar mandi 2+1
• Sumber air sumur bor
• Listrik 2200 VA
• Surat SHM dan IMB
 
Selling Point:
• Pintu Tol Gedong 2 (Pasar Rebo) 5.4 km
• Pinto Tol Bambu Apus 6.2 km
• LRT Ciracas 2 km
• Jakarta Islamic School 500 m
• RSUD Ciracas 1.5 km
 
Adji yudho",3,3,110,60,1,2,0
Dijual Rumah Di Jakarta Selatan,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-rumah-di-jakarta-selatan-172196827370/,"Petukangan Selatan, Jakarta Selatan",8000000000,"SN /Na
Rumah Dijual Di Jakarta Selatan

Luas Bangunan: 400 mÂ²
Luas Tanah: 766 mÂ²
Ukuran tanah LxP 30,5x25
Sertifikat: SHM - Sertifikat Hak Milik
Listrik: 5500 watt
Kamar tidur : 7+2
Kamar mandi : 4+1
Carport : 4 Mobil
Garasi : 4 Mobil
Sumber Air : Air Tanah
Bangunan menghadap : Barat
Bangunan tahun : 1996 Bata Merah kokoh

Lokasi strategis:
- Petukangan Utara Jakarta Selatan.
- Dekat dengan Universitas Budi Luhur dan Universitas Mercu Buana
- Dekat dengan Rumah Sakit Pusat Pertamina, Rumah Sakit Siloam Kebun Jeruk, dan Rumah sakit Sari Asih
- Akses tol terdekat : Tol Jorr Joglo dan Tol Jorr Ciledug #ID: 173242",7,4,400,766,4,1,0
Rumah kebayoran baru jakarta selatan,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/rumah-kebayoran-baru-jakarta-selatan-17187181438/,"Kebayoran Baru, Jakarta Selatan",30000000000,"Dijual Rumah dengan lokasi strategis daerah Senopati .Kebayoran Baru, Jakarta Selatan.Akses tercepat untuk menuju kawasan bisnis: SCBD, Jl Gatot Subroto, Jl.Sudirman, dan Jl.Kapt.Tendean.Alamat: Jl Tulodong Bawah II RT 002/RW 001 Kebayoran Baru Jakarta Selatan 12190 .Luas Tanah : 410 m2 .Luas Bangunan : 390 m2 .Kepemilikan Sertifikat Hak Milik (SHM) .Dimensi Bangunan dengan 1 tingkat .Km Tidur: 4 (Lt Atas) dan 1 (Lt Bwh) .Km Mandi: 3 (Lt Atas) dan 2 (Lt Bwh) .Kebun Depan & Belakang .Musholla .Kolam Ikan .Posisi Hook .Garasi untuk 3 Mobil .Listrik 3300 W.",5,3,390,410,0,1,0
DIJUAL RUMAH JAKARTA SELATAN TEBET,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-rumah-jakarta-selatan-tebet-169500650973/,"Tebet Timur, Jakarta Selatan",16500000000,"Dijual Cepat : Rumah 2 Lantai di Tebet Timur Dalam Raya, Jakarta Selatan (harga dibawah NJOP)   Luas Tanah : 448m Luas Bangunan : 500m  Note : saat ini sedang dikontrak Cafe",5,5,500,448,0,1,0
